South Carolina State University,Orangeburg,SC,Bulldogs,Celebration Bowl,12:00 PM,ABC,7,,Atlanta,GA
Jackson State University (-1.5),Jackson, MS,Tigers,,,28,1.5,,,
12/14/2024,,,,,,,,,,
South Alabama (-7),Mobile, AL,Jaguars,Salute to Veterans Bowl,9:00 PM,ESPN,30,7,Montgomery,AL
Western Michigan University,Kalamazoo,MI,Broncos,,,23,,,,
12/14/2024,,,,,,,
No. 25 Memphis (-3),Memphis,TN,Tigers,Frisco Bowl,9:00 PM,ESPN,42,3,Frisco,TX
No. 7 University of Tennessee [9],College Football Playoff First Round Game 4,8:00 PM,ESPN,17,,Colombus,OH
No. 6 tOhio State University [8],,,,42,,,
12/21/2024,,,,,,,
No. 9 Boise State University [3],College Football Playoff Quarterfinal Game (Fiesta Bowl),7:30 PM,ESPN,14,,Glendale,AZ
No. 4 Pennsylvania State University [6],,,,31,,,
12/31/2024,,,,,,,
No. 12 Arizona State University [4],College Football Playoff Quarterfinal Game (Peach Bowl),1:00 PM,ESPN,31,,Atlanta,GA
No. 3 University of Texas at Austin [5],,,,39,,,
1/1/2025,,,,,,,
No. 1 University of Oregon [1],College Football Playoff Quarterfinal Game (Rose Bowl),5:00 PM,ESPN,21,,Pasadena,CA
No. 6 tOhio State University [8],,,,41,,,
1/1/2025,,,,,,,
No. 2 University of Georgia [2],College Football Playoff Quarterfinal Game (Sugar Bowl),8:45 PM,ESPN,10,,New Orleans,LA
No. 5 University of Notre Dame [7],,,,23,,,
1/1/2025,,,,,,,
No. 5 University of Notre Dame [7],College Football Playoff Semifinal Game (Orange Bowl),7:30 PM,ESPN,27,,Miami Gardens,FL
No. 4 Pennsylvania State University [6],,,,24,,,
1/9/2025,,,,,,,
No. 6 tOhio State University [8],College Football Playoff Semifinal Game (Cotton Bowl),7:30 PM,ESPN,28,,Arlington,TX
No. 3 University of Texas at Austin [5],,,,14,,,
1/10/2025,,,,,,,
No. 5 University of Notre Dame [7],College Football Playoff National Championship Game,7:30 PM,ESPN,23,,Atlanta,GA
No. 6 tOhio State University [8],,,,34,,,
1/20/2025,,,,,,,
